name,slug,category,tvl_usd,change_1d,change_7d,change_1m,chains_count,chain,collected_date,is_outlier,category_clean,tvl_millions,tvl_billions,growth_score,tvl_rank,growth_rank,size_bracket
Bitfinex,bitfinex,CEX,27415796297.10329,-0.8430465031471641,-1.8029144163350708,0,20,Aptos,2025-08-22,True,Others,27415.79629710329,27.41579629710329,-1.0700665087969683,1.0,24.0,>$1B
KuCoin,kucoin,CEX,5072438875.502863,-1.3477571915566529,-4.85572577142203,0,22,Aptos,2025-08-22,False,Others,5072.438875502863,5.072438875502863,-2.6974143240223456,2.0,33.0,>$1B
MEXC,mexc,CEX,4063210424.427962,-0.6345431718444416,-0.4603499371316388,0,13,Aptos,2025-08-22,False,Others,4063.2104244279617,4.063210424427962,-0.35708360293470776,3.0,16.0,>$1B
Portal,portal,Bridge,2810169203.273112,-2.750115029122042,-6.1509824547114675,0,24,Aptos,2025-08-22,False,Bridge,2810.1692032731116,2.810169203273112,-3.625514233180142,4.0,46.0,>$1B
BlackRock BUIDL,blackrock-buidl,RWA,2376288260.3138537,0.0111911312310866,0.0786864129898248,0,6,Aptos,2025-08-22,False,Others,2376.2882603138537,2.3762882603138538,0.04158143274112972,5.0,10.0,>$1B
PancakeSwap AMM,pancakeswap-amm,Dexs,1521641592.0718222,-2.0551537571158036,-0.0843386387818867,0,9,Aptos,2025-08-22,False,Others,1521.641592071822,1.5216415920718223,-0.45320007081410413,6.0,19.0,>$1B
Bitkub,bitkub,CEX,1396824560.5000296,-1.6387068840250834,-6.1169164340627304,0,21,Aptos,2025-08-22,False,Others,1396.8245605000295,1.3968245605000296,-3.386199593836382,7.0,41.0,>$1B
Ondo Finance,ondo-finance,RWA,1394668594.02481,1.6058912119972175,0.7247714748179135,0,9,Aptos,2025-08-22,False,Others,1394.66859402481,1.39466859402481,0.6835639798084003,8.0,9.0,>$1B
Franklin Templeton,franklin-templeton,RWA,761338303.9416548,11.076486922307296,9.960283428700876,0,7,Aptos,2025-08-22,False,Others,761.3383039416548,0.7613383039416548,7.195439098811898,9.0,5.0,$100M-$1B
Echo Lending,echo-lending,Lending,251830892.7120736,-1.7568244466028915,-5.426931001571319,0,1,Aptos,2025-08-22,False,Lending,251.8308927120736,0.2518308927120736,-3.0648303901062377,10.0,37.0,$100M-$1B
Aries Markets,aries-markets,Lending,202382455.11054447,1.042777564985414,-1.3303875548962054,0,1,Aptos,2025-08-22,False,Lending,202.38245511054447,0.20238245511054448,-0.45663826445101985,11.0,20.0,$100M-$1B
BloFin,blofin,CEX,154869962.7058274,0.0456448914301717,-3.805950536352128,0,18,Aptos,2025-08-22,False,Others,154.8699627058274,0.1548699627058274,-1.8938462898900297,12.0,28.0,$100M-$1B
Echelon Market,echelon-market,Lending,152980114.04339093,0.4757406296411517,-1.0941326861155858,0,2,Aptos,2025-08-22,False,Lending,152.98011404339093,0.15298011404339093,-0.45191821712956254,13.0,18.0,$100M-$1B
Amnis Finance,amnis-finance,Liquid Staking,152358788.0098108,-1.3282809451563509,-7.326974730701181,0,1,Aptos,2025-08-22,False,Liquid Staking,152.3587880098108,0.1523587880098108,-3.9291435543818607,14.0,53.0,$100M-$1B
TruStake,trustake,Liquid Staking,130286094.66207632,-2.792058790398528,-6.501899432213293,0,5,Aptos,2025-08-22,False,Liquid Staking,130.28609466207632,0.13028609466207633,-3.809361474186352,15.0,51.0,$100M-$1B
Libre Capital,libre-capital,RWA,118922705.10641515,0.0013002782595492,0.0401821248585037,0,13,Aptos,2025-08-22,False,Others,118.92270510641515,0.11892270510641516,0.02035111808116169,16.0,12.0,$100M-$1B
Flipster,flipster,CEX,113018093.94172296,-1.1972909824458924,-7.855542187974066,0,21,Aptos,2025-08-22,False,Others,113.01809394172295,0.11301809394172296,-4.167229290476212,17.0,56.0,$100M-$1B
Apollo Diversified Credit Securitize Fund,apollo-diversified-credit-securitize-fund,RWA,110456692.58017206,0.0620276356973619,0.0197716967331729,0,6,Aptos,2025-08-22,False,Others,110.45669258017206,0.11045669258017206,0.02229137550605883,18.0,11.0,$100M-$1B
Hyperion,hyperion,Dexs,103937948.29487927,-1.0656260393818968,-4.0654048899456825,0,1,Aptos,2025-08-22,False,Others,103.93794829487928,0.10393794829487928,-2.2458276528492207,19.0,29.0,$100M-$1B
Cetus AMM,cetus-amm,Dexs,95200655.334425,-3.397216199773027,-8.051857801437592,0,2,Aptos,2025-08-22,False,Others,95.20065533442501,0.095200655334425,-4.7053721406734015,20.0,57.0,$10M-$100M
Thala LSD,thala-lsd,Liquid Staking,50752526.7279179,-4.57054067888761,-8.013505114343758,0,1,Aptos,2025-08-22,False,Liquid Staking,50.7525267279179,0.0507525267279179,-4.920860692949401,21.0,59.0,$10M-$100M
ThalaSwap V2,thalaswap-v2,Dexs,49100077.275681555,-0.3437540104421828,3.626335131412461,0,1,Aptos,2025-08-22,False,Others,49.100077275681556,0.04910007727568155,1.7444167636177939,22.0,8.0,$10M-$100M
Poly Network,poly-network,Bridge,44728247.74000001,,,0,31,Aptos,2025-08-22,False,Bridge,44.72824774000001,0.04472824774000001,0.0,23.0,13.0,$10M-$100M
Echo Strategy,echo-strategy,Yield Aggregator,38719119.15316042,-1.7587785724916216,-5.373245866430125,0,1,Aptos,2025-08-22,False,Others,38.71911915316042,0.038719119153160425,-3.0383786477133867,24.0,36.0,$10M-$100M
Kofi Finance,kofi-finance,Liquid Staking,27639542.16431969,-1.0084261082087664,-5.309298506098841,0,1,Aptos,2025-08-22,False,Liquid Staking,27.63954216431969,0.02763954216431969,-2.856334474691174,25.0,34.0,$10M-$100M
Cellana Finance,cellana-finance,Dexs,18983763.23094637,-1.3614860856734907,-6.2044924899329175,0,1,Aptos,2025-08-22,False,Others,18.98376323094637,0.01898376323094637,-3.374543462101157,26.0,40.0,$10M-$100M
ThalaSwap,thalaswap,Dexs,15638166.249153366,-1.254820174262747,-0.517463696048793,0,1,Aptos,2025-08-22,False,Others,15.638166249153366,0.015638166249153367,-0.509695882876946,27.0,21.0,$10M-$100M
Aptin Finance V2,aptin-finance-v2,Lending,14871796.318473369,-1.4610138219186268,-6.385043702789574,0,1,Aptos,2025-08-22,False,Lending,14.871796318473368,0.014871796318473369,-3.484724615778512,28.0,44.0,$10M-$100M
Superposition,superposition,Lending,14510982.717015311,-2.0665164179645217,-9.579825492059385,0,1,Aptos,2025-08-22,False,Lending,14.510982717015311,0.01451098271701531,-5.203216029622597,29.0,60.0,$10M-$100M
Mole,mole,Yield,13715981.093894873,0.9904893916755668,-3.95264786832685,0,2,Aptos,2025-08-22,False,Yield Farming,13.715981093894873,0.013715981093894873,-1.7782260558283114,30.0,27.0,$10M-$100M
LiquidSwap,liquidswap,Dexs,9922659.46213418,-1.442518392229772,-5.879717986203474,0,1,Aptos,2025-08-22,False,Others,9.922659462134181,0.00992265946213418,-3.2283626715476914,31.0,38.0,$1M-$10M
Thala CDP,thala-cdp,CDP,9904592.663783176,-1.4245859153261904,-6.740598589320939,0,1,Aptos,2025-08-22,False,Others,9.904592663783175,0.009904592663783176,-3.6552164777257077,32.0,47.0,$1M-$10M
Meso Finance,meso-finance,Lending,8251728.8820794,-2.2936226358862797,-6.805756204179218,0,1,Aptos,2025-08-22,False,Lending,8.2517288820794,0.0082517288820794,-3.861602629266865,33.0,52.0,$1M-$10M
Joule Finance,joule-finance,Lending,6700758.666573072,-1.4983291618447936,-11.917060979086584,0,1,Aptos,2025-08-22,False,Lending,6.700758666573072,0.006700758666573072,-6.2581963219122505,34.0,61.0,$1M-$10M
Fastex,fastex,CEX,6224512.566142707,79.17854406466768,187.65457757161636,0,14,Aptos,2025-08-22,False,Others,6.224512566142707,0.006224512566142707,109.66299759874171,35.0,2.0,$1M-$10M
Merkle Trade,merkle-trade,Derivatives,4991619.717727865,-0.0147142243619953,-1.1843711868022666,0,1,Aptos,2025-08-22,False,Derivatives,4.991619717727865,0.004991619717727865,-0.5951284382735323,36.0,22.0,$1M-$10M
Echo Liquid Staking,echo-liquid-staking,Liquid Staking,2935218.4884502986,-1.363284799497265,-6.775735210193503,0,1,Aptos,2025-08-22,False,Liquid Staking,2.9352184884502988,0.0029352184884502987,-3.660524564996204,37.0,48.0,$1M-$10M
Bridgers,bridgers,Dexs,2911758.760562769,62.866579616839914,13.795698719711694,0,16,Aptos,2025-08-22,False,Others,2.911758760562769,0.002911758760562769,19.471165283223833,38.0,4.0,$1M-$10M
Moar Market,moar-market,Leveraged Farming,1723353.8419008406,-0.9627314896766564,-0.4616216257378909,0,1,Aptos,2025-08-22,False,Others,1.7233538419008407,0.0017233538419008407,-0.42335711080427674,39.0,17.0,$1M-$10M
Auro Finance,auro-finance,CDP,1635413.732423925,0.6860661797158087,-13.24812054960674,0,1,Aptos,2025-08-22,False,Others,1.635413732423925,0.0016354137324239252,-6.486847038860208,40.0,62.0,$1M-$10M
Mirage Protocol,mirage-protocol,Derivatives,869430.3156343482,-1.338779476350453,-6.944813579246741,0,1,Aptos,2025-08-22,False,Derivatives,0.8694303156343482,0.0008694303156343482,-3.7401626848934613,41.0,50.0,<$1M
Earnium,earnium,Dexs,689746.9861240855,17.697092970816982,79.18144005951692,0,1,Aptos,2025-08-22,False,Others,0.6897469861240855,0.0006897469861240855,43.13013862392185,42.0,3.0,<$1M
Streamflow,streamflow,Payments,542712.9715634348,-0.4222986301800233,-14.073292381792768,0,6,Aptos,2025-08-22,False,Others,0.5427129715634348,0.0005427129715634348,-7.121105916932389,43.0,63.0,<$1M
Emojicoin.fun,emojicoin.fun,Launchpad,463696.8397182791,-1.8336059125308568,-6.666532378039577,0,1,Aptos,2025-08-22,False,Launchpad,0.4636968397182791,0.00046369683971827906,-3.6999873715259595,44.0,49.0,<$1M
Sushi Aptos,sushi-aptos,Dexs,438716.98397158895,-0.5826024766394653,-3.2172284925098324,0,1,Aptos,2025-08-22,False,Others,0.438716983971589,0.00043871698397158896,-1.7251347415828093,45.0,26.0,<$1M
ABEL Finance,abel-finance,Lending,330885.68204095,24.896468612735603,-3.6618259040165526,0,1,Aptos,2025-08-22,False,Lending,0.33088568204095,0.00033088568204095,3.1483807705388447,46.0,6.0,<$1M
Econia,econia,Dexs,246984.65788641,0.0,-0.0078806376724145,0,1,Aptos,2025-08-22,False,Others,0.24698465788641,0.00024698465788640996,-0.00394031883620725,47.0,14.0,<$1M
Ditto,ditto,Liquid Staking,224814.88074447677,-1.3003861834760926,-6.589507997197927,0,1,Aptos,2025-08-22,False,Liquid Staking,0.22481488074447678,0.00022481488074447677,-3.554831235294182,48.0,45.0,<$1M
MoneyFi,moneyfi,Yield Aggregator,143884.3861634684,4.49832115369037,2.3984943828879324,0,8,Aptos,2025-08-22,False,Others,0.1438843861634684,0.0001438843861634684,2.09891142218204,49.0,7.0,<$1M
Tortuga,tortuga,Liquid Staking,81439.13258573881,-0.8449266110055333,-7.629077984604976,0,1,Aptos,2025-08-22,False,Liquid Staking,0.08143913258573882,8.143913258573882e-05,-3.983524314503595,50.0,54.0,<$1M
Argo,argo,CDP,76318.39033179944,-1.050667631498527,-6.201894037707234,0,1,Aptos,2025-08-22,False,Others,0.07631839033179943,7.631839033179944e-05,-3.3110805451533225,51.0,39.0,<$1M
Aptin Finance V1,aptin-finance-v1,Lending,50914.40839323837,-0.0400250870030163,-0.0810170505904324,0,1,Aptos,2025-08-22,False,Lending,0.050914408393238374,5.091440839323837e-05,-0.048513542695819464,52.0,15.0,<$1M
Aptoswap,aptoswap,Dexs,46345.309298243905,-0.4082569207654813,-3.1130356724352453,0,1,Aptos,2025-08-22,False,Others,0.0463453092982439,4.63453092982439e-05,-1.638169220370719,53.0,25.0,<$1M
TsunamiX,tsunamix,Derivatives,35779.49571600065,-88.81697789920129,-89.21710623371224,0,2,Aptos,2025-08-22,False,Derivatives,0.03577949571600065,3.5779495716000655e-05,-62.37194869669638,54.0,66.0,<$1M
Thetis Perps,thetis-perps,Derivatives,34558.312792783625,-12.326071750383107,-24.47041644979096,0,1,Aptos,2025-08-22,False,Derivatives,0.034558312792783624,3.455831279278363e-05,-14.700422574972102,55.0,65.0,<$1M
AnimeSwap,animeswap,Dexs,20272.060766867304,-1.377342822560408,-4.52930260793751,0,2,Aptos,2025-08-22,False,Others,0.020272060766867304,2.0272060766867305e-05,-2.5401198684808364,56.0,32.0,<$1M
BaptSwap V2.1,baptswap-v2.1,Dexs,19295.053863591573,-1.294084287664802,-9.046316806480732,0,1,Aptos,2025-08-22,False,Others,0.019295053863591573,1.9295053863591573e-05,-4.781975260773327,57.0,58.0,<$1M
AptosLaunch,aptoslaunch,Launchpad,12934.083959236032,-2.214720090518071,-7.152125539647372,0,1,Aptos,2025-08-22,False,Launchpad,0.012934083959236032,1.2934083959236031e-05,-4.0190067879273,58.0,55.0,<$1M
HoustonSwap,houstonswap,Dexs,10256.066897925326,-0.2344436730602979,-1.4979541833366028,0,1,Aptos,2025-08-22,False,Others,0.010256066897925326,1.0256066897925326e-05,-0.795865826280361,59.0,23.0,<$1M
Obric,obric,Dexs,4912.759473387228,-1.1644991079019746,-4.290282903620906,0,1,Aptos,2025-08-22,False,Others,0.004912759473387229,4.912759473387228e-06,-2.378041273390848,60.0,31.0,<$1M
Eternal Finance,eternal-finance,Yield,3845.6049479512744,,,0,1,Aptos,2025-08-22,False,Yield Farming,0.0038456049479512746,3.845604947951274e-06,0.0,61.0,13.0,<$1M
MovePump,movepump,Launchpad,3242.625098548001,-1.565995525727061,-6.194997728141601,0,1,Aptos,2025-08-22,False,Launchpad,0.003242625098548001,3.242625098548001e-06,-3.410697969216213,62.0,42.0,<$1M
AGDEX,agdex,Derivatives,1108.732709520985,-0.791187214758537,-16.540174461822033,0,1,Aptos,2025-08-22,False,Derivatives,0.001108732709520985,1.108732709520985e-06,-8.428324673862724,63.0,64.0,<$1M
BaptSwap V1,baptswap-v1,Dexs,684.919403287673,-0.7872763862782222,-5.588135649708846,0,1,Aptos,2025-08-22,False,Others,0.0006849194032876731,6.84919403287673e-07,-2.9515231021100674,64.0,35.0,<$1M
Jujube Finance,jujube-finance,Dexs,139.87996521747002,-2.1522283038279824,-5.994632101830405,0,1,Aptos,2025-08-22,False,Others,0.00013987996521747,1.3987996521747e-07,-3.427761711680799,65.0,43.0,<$1M
AtoDEX,atodex,Dexs,88.30632682726,,,0,1,Aptos,2025-08-22,False,Others,8.830632682725999e-05,8.830632682726e-08,0.0,66.0,13.0,<$1M
BaptSwap V2,baptswap-v2,Dexs,86.45442796302001,-0.6341120649099992,-4.4414299081579856,0,1,Aptos,2025-08-22,False,Others,8.645442796302001e-05,8.645442796302002e-08,-2.3475373670609927,67.0,30.0,<$1M
MoveFlow,moveflow,Payments,73.44474536725902,41.768364192395126,311.02070923468074,0,2,Aptos,2025-08-22,False,Others,7.344474536725901e-05,7.344474536725902e-08,163.86402745581938,68.0,1.0,<$1M
